,agency_name,city,agency_url
0,Adelaide Metro (Rail Commissioner),adelaide,http://www.adelaidemetro.com.au/
1,Adelaide Metro (SouthLink),adelaide,http://www.adelaidemetro.com.au/
2,Adelaide Metro (School Service - SouthLink),adelaide,http://www.adelaidemetro.com.au/
3,Adelaide Metro (Torrens Transit),adelaide,http://www.adelaidemetro.com.au/
4,Adelaide Metro (School Service - Torrens Transit),adelaide,http://www.adelaidemetro.com.au/
5,Adelaide Metro (Industrial Service - Torrens Transit),adelaide,http://www.adelaidemetro.com.au/
6,Adelaide Metro (Light City Buses),adelaide,http://www.adelaidemetro.com.au/
7,Adelaide Metro (School Service - Light City Buses),adelaide,http://www.adelaidemetro.com.au/
8,Adelaide Metro (Industrial Service - Light City Buses),adelaide,http://www.adelaidemetro.com.au/
0,TRAINOSE SA,athens,http://www.trainose.gr
0,Οργανισμός Αστικών Συγκοινωνιών ΟΑΣΑ - Αthens Urban Transport Organisation,athens,http://www.oasa.gr
0,Verkehrsverbund Brandenburg-Berlin,berlin,http://www.vbb.de
1,Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG,berlin,http://www.anger-busvermietung.de
2,Fritz Behrendt OHG,berlin,http://www.behrendt-touristik.de
3,Busverkehr Märkisch-Oderland GmbH,berlin,http://www.busmol.de
4,Busverkehr Oder-Spree GmbH,berlin,http://www.bos-fw.de
5,Verkehrsbetriebe Brandenburg an der Havel GmbH,berlin,http://www.vbbr.de
6,Verkehrsbetriebe Brandenburg an der Havel GmbH,berlin,http://www.vbbr.de
7,Barnimer Busgesellschaft mbH,berlin,http://www.bbg-eberswalde.de
8,Berliner Verkehrsbetriebe,berlin,http://www.bvg.de
9,Berliner Verkehrsbetriebe,berlin,http://www.bvg.de
10,Beelitzer Verkehrs- und Servicegesellschaft mbH,berlin,http://www.havelbus.de
11,Berliner Verkehrsbetriebe,berlin,http://www.bvg.de
12,Berliner Verkehrsbetriebe,berlin,http://www.bvg.de
13,Cottbusverkehr GmbH,berlin,http://www.cottbusverkehr.de
14,Cottbusverkehr GmbH,berlin,http://www.cottbusverkehr.de
15,S-Bahn Berlin GmbH,berlin,http://www.s-bahn-berlin.de
